insert into payments (customer_id, payment_date, amount, due_date) values (78, '2023-10-02', 356, '2022-12-24');
insert into payments (customer_id, payment_date, amount, due_date) values (193, '2023-01-30', 782, '2023-10-08');
insert into payments (customer_id, payment_date, amount, due_date) values (87, '2023-09-07', 755, '2023-03-21');
insert into payments (customer_id, payment_date, amount, due_date) values (50, '2023-04-08', 693, '2023-09-16');
insert into payments (customer_id, payment_date, amount, due_date) values (39, '2022-12-05', 494, '2023-01-02');
insert into payments (customer_id, payment_date, amount, due_date) values (193, '2023-09-07', 347, '2023-06-14');
insert into payments (customer_id, payment_date, amount, due_date) values (171, '2023-09-30', 66, '2023-09-26');
insert into payments (customer_id, payment_date, amount, due_date) values (39, '2023-01-19', 903, '2023-06-09');
insert into payments (customer_id, payment_date, amount, due_date) values (15, '2022-12-10', 651, '2023-04-02');
insert into payments (customer_id, payment_date, amount, due_date) values (150, '2023-05-04', 697, '2023-05-11');
insert into payments (customer_id, payment_date, amount, due_date) values (34, '2023-07-15', 408, '2023-06-01');
insert into payments (customer_id, payment_date, amount, due_date) values (111, '2023-05-25', 357, '2023-04-12');
insert into payments (customer_id, payment_date, amount, due_date) values (120, '2023-03-11', 349, '2023-01-21');
insert into payments (customer_id, payment_date, amount, due_date) values (132, '2022-11-09', 145, '2023-01-11');
insert into payments (customer_id, payment_date, amount, due_date) values (53, '2023-04-04', 764, '2023-08-11');
insert into payments (customer_id, payment_date, amount, due_date) values (3, '2022-11-01', 59, '2022-12-11');
insert into payments (customer_id, payment_date, amount, due_date) values (117, '2023-09-29', 454, '2023-07-07');
insert into payments (customer_id, payment_date, amount, due_date) values (24, '2022-12-28', 142, '2023-06-21');
insert into payments (customer_id, payment_date, amount, due_date) values (52, '2023-09-17', 484, '2023-08-21');
insert into payments (customer_id, payment_date, amount, due_date) values (103, '2023-07-02', 214, '2023-08-05');
insert into payments (customer_id, payment_date, amount, due_date) values (164, '2023-05-09', 943, '2023-03-20');
insert into payments (customer_id, payment_date, amount, due_date) values (64, '2023-09-21', 424, '2023-10-10');
insert into payments (customer_id, payment_date, amount, due_date) values (74, '2022-11-03', 632, '2023-06-11');
insert into payments (customer_id, payment_date, amount, due_date) values (154, '2022-11-26', 839, '2023-03-03');
insert into payments (customer_id, payment_date, amount, due_date) values (144, '2023-08-22', 444, '2023-10-28');
insert into payments (customer_id, payment_date, amount, due_date) values (91, '2023-01-03', 283, '2023-09-29');
insert into payments (customer_id, payment_date, amount, due_date) values (151, '2023-09-01', 587, '2023-07-12');
insert into payments (customer_id, payment_date, amount, due_date) values (133, '2023-08-14', 839, '2023-08-28');
insert into payments (customer_id, payment_date, amount, due_date) values (165, '2023-03-08', 294, '2023-03-31');
insert into payments (customer_id, payment_date, amount, due_date) values (196, '2023-02-19', 577, '2023-01-14');
insert into payments (customer_id, payment_date, amount, due_date) values (89, '2023-07-19', 177, '2023-09-23');
insert into payments (customer_id, payment_date, amount, due_date) values (149, '2023-02-11', 354, '2023-04-02');
insert into payments (customer_id, payment_date, amount, due_date) values (28, '2022-11-05', 977, '2023-08-06');
insert into payments (customer_id, payment_date, amount, due_date) values (171, '2023-02-18', 940, '2023-02-27');
insert into payments (customer_id, payment_date, amount, due_date) values (71, '2023-05-13', 577, '2023-04-08');
insert into payments (customer_id, payment_date, amount, due_date) values (43, '2023-08-30', 193, '2022-12-18');
insert into payments (customer_id, payment_date, amount, due_date) values (169, '2023-08-27', 153, '2023-03-04');
insert into payments (customer_id, payment_date, amount, due_date) values (87, '2023-08-05', 641, '2022-12-23');
insert into payments (customer_id, payment_date, amount, due_date) values (49, '2023-10-13', 636, '2022-12-30');
insert into payments (customer_id, payment_date, amount, due_date) values (118, '2023-10-06', 984, '2022-11-27');
insert into payments (customer_id, payment_date, amount, due_date) values (17, '2023-06-25', 982, '2022-12-13');
insert into payments (customer_id, payment_date, amount, due_date) values (62, '2022-11-26', 37, '2023-05-18');
insert into payments (customer_id, payment_date, amount, due_date) values (49, '2022-12-05', 259, '2023-10-10');
insert into payments (customer_id, payment_date, amount, due_date) values (154, '2023-05-21', 951, '2023-03-18');
insert into payments (customer_id, payment_date, amount, due_date) values (25, '2022-11-13', 380, '2023-07-07');
insert into payments (customer_id, payment_date, amount, due_date) values (116, '2023-04-10', 346, '2023-01-17');
insert into payments (customer_id, payment_date, amount, due_date) values (102, '2023-05-12', 567, '2023-08-07');
insert into payments (customer_id, payment_date, amount, due_date) values (80, '2023-03-10', 299, '2022-11-13');
insert into payments (customer_id, payment_date, amount, due_date) values (86, '2023-06-20', 927, '2023-01-10');
insert into payments (customer_id, payment_date, amount, due_date) values (191, '2023-06-06', 130, '2022-11-26');
insert into payments (customer_id, payment_date, amount, due_date) values (137, '2023-08-16', 533, '2023-01-15');
insert into payments (customer_id, payment_date, amount, due_date) values (78, '2023-03-10', 28, '2023-06-15');
insert into payments (customer_id, payment_date, amount, due_date) values (41, '2023-08-30', 780, '2022-11-07');
insert into payments (customer_id, payment_date, amount, due_date) values (198, '2023-04-20', 298, '2023-05-23');
insert into payments (customer_id, payment_date, amount, due_date) values (18, '2023-10-02', 273, '2023-09-01');
insert into payments (customer_id, payment_date, amount, due_date) values (77, '2023-09-27', 302, '2023-07-22');
insert into payments (customer_id, payment_date, amount, due_date) values (22, '2023-09-09', 287, '2022-12-28');
insert into payments (customer_id, payment_date, amount, due_date) values (98, '2023-09-01', 480, '2023-07-27');
insert into payments (customer_id, payment_date, amount, due_date) values (106, '2023-02-13', 415, '2023-04-04');
insert into payments (customer_id, payment_date, amount, due_date) values (49, '2023-09-09', 919, '2023-07-04');
insert into payments (customer_id, payment_date, amount, due_date) values (42, '2023-05-06', 990, '2022-11-09');
insert into payments (customer_id, payment_date, amount, due_date) values (105, '2023-07-01', 546, '2023-04-14');
insert into payments (customer_id, payment_date, amount, due_date) values (74, '2023-05-12', 423, '2023-05-27');
insert into payments (customer_id, payment_date, amount, due_date) values (71, '2023-05-06', 88, '2023-10-13');
insert into payments (customer_id, payment_date, amount, due_date) values (63, '2023-05-14', 471, '2022-11-17');
insert into payments (customer_id, payment_date, amount, due_date) values (99, '2022-11-17', 413, '2022-12-03');
insert into payments (customer_id, payment_date, amount, due_date) values (161, '2023-03-04', 534, '2023-06-25');
insert into payments (customer_id, payment_date, amount, due_date) values (109, '2023-06-12', 949, '2023-01-10');
insert into payments (customer_id, payment_date, amount, due_date) values (131, '2023-02-23', 759, '2022-12-14');
insert into payments (customer_id, payment_date, amount, due_date) values (25, '2023-02-17', 863, '2023-10-11');
insert into payments (customer_id, payment_date, amount, due_date) values (110, '2023-07-08', 446, '2023-10-14');
insert into payments (customer_id, payment_date, amount, due_date) values (131, '2023-08-13', 128, '2023-03-10');
insert into payments (customer_id, payment_date, amount, due_date) values (104, '2023-04-30', 524, '2023-07-07');
insert into payments (customer_id, payment_date, amount, due_date) values (128, '2023-02-26', 230, '2023-06-19');
insert into payments (customer_id, payment_date, amount, due_date) values (76, '2023-03-24', 400, '2023-03-31');
insert into payments (customer_id, payment_date, amount, due_date) values (63, '2023-09-01', 678, '2023-02-01');
insert into payments (customer_id, payment_date, amount, due_date) values (161, '2023-05-11', 401, '2023-05-27');
insert into payments (customer_id, payment_date, amount, due_date) values (164, '2023-02-07', 498, '2023-02-08');
insert into payments (customer_id, payment_date, amount, due_date) values (91, '2023-03-09', 982, '2023-09-06');
insert into payments (customer_id, payment_date, amount, due_date) values (130, '2023-04-13', 455, '2023-05-24');
insert into payments (customer_id, payment_date, amount, due_date) values (86, '2023-08-04', 706, '2022-12-19');
insert into payments (customer_id, payment_date, amount, due_date) values (45, '2023-09-22', 438, '2022-12-24');
insert into payments (customer_id, payment_date, amount, due_date) values (64, '2022-12-08', 465, '2023-07-20');
insert into payments (customer_id, payment_date, amount, due_date) values (143, '2022-11-06', 695, '2023-10-18');
insert into payments (customer_id, payment_date, amount, due_date) values (65, '2023-06-16', 952, '2023-05-04');
insert into payments (customer_id, payment_date, amount, due_date) values (89, '2023-05-09', 406, '2023-09-25');
insert into payments (customer_id, payment_date, amount, due_date) values (124, '2023-02-22', 158, '2023-04-14');
insert into payments (customer_id, payment_date, amount, due_date) values (4, '2023-04-07', 708, '2023-02-23');
insert into payments (customer_id, payment_date, amount, due_date) values (12, '2023-07-12', 818, '2023-08-06');
insert into payments (customer_id, payment_date, amount, due_date) values (167, '2022-12-02', 23, '2023-06-13');
insert into payments (customer_id, payment_date, amount, due_date) values (33, '2023-05-07', 642, '2023-07-06');
insert into payments (customer_id, payment_date, amount, due_date) values (172, '2023-03-16', 757, '2023-05-15');
insert into payments (customer_id, payment_date, amount, due_date) values (174, '2023-01-06', 322, '2022-12-16');
insert into payments (customer_id, payment_date, amount, due_date) values (110, '2023-10-23', 659, '2023-04-07');
insert into payments (customer_id, payment_date, amount, due_date) values (2, '2023-03-31', 270, '2022-11-08');
insert into payments (customer_id, payment_date, amount, due_date) values (13, '2023-07-23', 832, '2023-05-23');
insert into payments (customer_id, payment_date, amount, due_date) values (28, '2023-02-09', 721, '2023-09-24');
insert into payments (customer_id, payment_date, amount, due_date) values (51, '2023-05-06', 624, '2023-01-15');
insert into payments (customer_id, payment_date, amount, due_date) values (172, '2022-12-13', 987, '2023-02-06');
insert into payments (customer_id, payment_date, amount, due_date) values (163, '2023-01-13', 650, '2023-06-28');
insert into payments (customer_id, payment_date, amount, due_date) values (12, '2023-05-04', 308, '2023-09-29');
insert into payments (customer_id, payment_date, amount, due_date) values (180, '2023-01-11', 942, '2022-11-02');
insert into payments (customer_id, payment_date, amount, due_date) values (111, '2023-05-27', 588, '2023-01-25');
insert into payments (customer_id, payment_date, amount, due_date) values (182, '2023-08-11', 935, '2023-08-29');
insert into payments (customer_id, payment_date, amount, due_date) values (122, '2023-02-01', 551, '2022-11-12');
insert into payments (customer_id, payment_date, amount, due_date) values (199, '2023-04-01', 678, '2023-02-15');
insert into payments (customer_id, payment_date, amount, due_date) values (182, '2023-03-12', 415, '2023-04-17');
insert into payments (customer_id, payment_date, amount, due_date) values (12, '2023-09-27', 765, '2023-07-11');
insert into payments (customer_id, payment_date, amount, due_date) values (187, '2023-02-28', 808, '2023-01-15');
insert into payments (customer_id, payment_date, amount, due_date) values (116, '2023-07-06', 109, '2023-09-08');
insert into payments (customer_id, payment_date, amount, due_date) values (124, '2023-05-24', 610, '2022-11-13');
insert into payments (customer_id, payment_date, amount, due_date) values (149, '2023-04-23', 199, '2022-12-15');
insert into payments (customer_id, payment_date, amount, due_date) values (127, '2022-11-07', 720, '2023-09-15');
insert into payments (customer_id, payment_date, amount, due_date) values (31, '2023-03-26', 83, '2023-02-24');
insert into payments (customer_id, payment_date, amount, due_date) values (8, '2022-12-23', 468, '2023-07-22');
insert into payments (customer_id, payment_date, amount, due_date) values (29, '2023-02-14', 440, '2023-01-17');
insert into payments (customer_id, payment_date, amount, due_date) values (130, '2023-04-25', 215, '2023-07-20');
insert into payments (customer_id, payment_date, amount, due_date) values (172, '2023-02-14', 962, '2022-11-14');
insert into payments (customer_id, payment_date, amount, due_date) values (142, '2023-01-29', 97, '2023-07-03');
insert into payments (customer_id, payment_date, amount, due_date) values (47, '2023-02-07', 179, '2023-05-30');
insert into payments (customer_id, payment_date, amount, due_date) values (47, '2023-05-23', 448, '2023-09-23');
insert into payments (customer_id, payment_date, amount, due_date) values (61, '2023-10-13', 156, '2023-02-08');
insert into payments (customer_id, payment_date, amount, due_date) values (190, '2022-11-08', 605, '2023-03-18');
insert into payments (customer_id, payment_date, amount, due_date) values (83, '2023-04-29', 549, '2023-09-18');
insert into payments (customer_id, payment_date, amount, due_date) values (168, '2023-07-01', 457, '2023-05-15');
insert into payments (customer_id, payment_date, amount, due_date) values (49, '2023-01-06', 116, '2023-07-13');
insert into payments (customer_id, payment_date, amount, due_date) values (83, '2023-03-21', 902, '2023-01-06');
insert into payments (customer_id, payment_date, amount, due_date) values (92, '2023-07-03', 638, '2023-07-28');
insert into payments (customer_id, payment_date, amount, due_date) values (83, '2023-07-10', 328, '2023-08-08');
insert into payments (customer_id, payment_date, amount, due_date) values (169, '2022-11-29', 312, '2022-12-07');
insert into payments (customer_id, payment_date, amount, due_date) values (68, '2023-07-29', 543, '2023-09-09');
insert into payments (customer_id, payment_date, amount, due_date) values (63, '2023-07-06', 149, '2023-08-29');
insert into payments (customer_id, payment_date, amount, due_date) values (151, '2023-09-24', 681, '2023-06-16');
insert into payments (customer_id, payment_date, amount, due_date) values (113, '2023-05-02', 795, '2023-04-08');
insert into payments (customer_id, payment_date, amount, due_date) values (149, '2023-06-26', 169, '2023-08-28');
insert into payments (customer_id, payment_date, amount, due_date) values (88, '2023-02-17', 988, '2023-01-07');
insert into payments (customer_id, payment_date, amount, due_date) values (33, '2022-12-07', 809, '2023-04-03');
insert into payments (customer_id, payment_date, amount, due_date) values (181, '2023-02-17', 12, '2023-05-01');
insert into payments (customer_id, payment_date, amount, due_date) values (191, '2023-10-28', 643, '2023-03-14');
insert into payments (customer_id, payment_date, amount, due_date) values (12, '2023-04-21', 80, '2023-05-27');
insert into payments (customer_id, payment_date, amount, due_date) values (3, '2023-08-17', 622, '2023-04-25');
insert into payments (customer_id, payment_date, amount, due_date) values (181, '2023-02-01', 877, '2023-01-21');
insert into payments (customer_id, payment_date, amount, due_date) values (179, '2023-01-13', 178, '2023-04-02');
insert into payments (customer_id, payment_date, amount, due_date) values (62, '2023-08-19', 21, '2023-10-16');
insert into payments (customer_id, payment_date, amount, due_date) values (142, '2023-04-02', 600, '2022-12-26');
insert into payments (customer_id, payment_date, amount, due_date) values (81, '2023-06-01', 822, '2023-02-11');
insert into payments (customer_id, payment_date, amount, due_date) values (97, '2023-06-18', 921, '2023-04-30');
insert into payments (customer_id, payment_date, amount, due_date) values (25, '2023-09-03', 390, '2023-09-05');
insert into payments (customer_id, payment_date, amount, due_date) values (175, '2023-03-26', 734, '2023-06-07');
insert into payments (customer_id, payment_date, amount, due_date) values (195, '2022-11-17', 247, '2023-08-28');
insert into payments (customer_id, payment_date, amount, due_date) values (117, '2023-04-28', 601, '2023-06-13');
insert into payments (customer_id, payment_date, amount, due_date) values (4, '2023-02-10', 261, '2023-04-01');
insert into payments (customer_id, payment_date, amount, due_date) values (167, '2023-07-31', 372, '2023-02-12');
insert into payments (customer_id, payment_date, amount, due_date) values (176, '2023-07-13', 651, '2023-03-09');
insert into payments (customer_id, payment_date, amount, due_date) values (176, '2023-05-17', 276, '2023-05-23');
insert into payments (customer_id, payment_date, amount, due_date) values (179, '2023-09-07', 265, '2022-12-13');
insert into payments (customer_id, payment_date, amount, due_date) values (40, '2023-05-10', 850, '2023-03-26');
insert into payments (customer_id, payment_date, amount, due_date) values (77, '2023-02-23', 966, '2022-12-28');
insert into payments (customer_id, payment_date, amount, due_date) values (179, '2023-07-25', 25, '2023-07-04');
insert into payments (customer_id, payment_date, amount, due_date) values (145, '2023-08-13', 427, '2022-12-09');
insert into payments (customer_id, payment_date, amount, due_date) values (160, '2023-05-25', 750, '2023-10-26');
insert into payments (customer_id, payment_date, amount, due_date) values (151, '2023-04-27', 263, '2023-10-06');
insert into payments (customer_id, payment_date, amount, due_date) values (168, '2023-01-26', 510, '2023-01-18');
insert into payments (customer_id, payment_date, amount, due_date) values (29, '2022-12-12', 418, '2023-01-30');
insert into payments (customer_id, payment_date, amount, due_date) values (77, '2023-01-10', 952, '2023-02-03');
insert into payments (customer_id, payment_date, amount, due_date) values (107, '2023-08-14', 695, '2023-04-12');
insert into payments (customer_id, payment_date, amount, due_date) values (191, '2023-03-17', 196, '2023-01-13');
insert into payments (customer_id, payment_date, amount, due_date) values (158, '2022-12-19', 75, '2023-03-18');
insert into payments (customer_id, payment_date, amount, due_date) values (111, '2023-02-11', 785, '2023-04-05');
